Country/Territory,Total
Abkhazia,40
Afghanistan,27
Albania,67
Algeria,34
Andorra,94
Angola,32
Antigua and Barbuda,85
Argentina,85
Armenia,53
Australia,97
Austria,93
Azerbaijan,10
Bahamas,91
Bahrain,11
Bangladesh,39
Barbados,95
Belarus,19
Belgium,96
Belize,86
Benin,66
Bhutan,59
Bolivia,63
Bosnia and Herzegovina,53
Botswana,72
Brazil,75
Brunei,28
Bulgaria,80
Burkina Faso,56
Burundi,13
Cabo Verde,92
Cambodia,25
Cameroon,18
Canada,98
Central African Republic,10
Chad,17
Chile,90
China,10
Colombia,66
Comoros,44
Congo (Brazzaville),20
Congo (Kinshasa),18
Costa Rica,91
Cote d'Ivoire,51
Crimea,8
Croatia,85
Cuba,14
Cyprus,94
Czech Republic,91
Denmark,97
Djibouti,24
Dominica,93
Dominican Republic,67
Eastern Donbas,5
Ecuador,65
Egypt,21
El Salvador,66
Equatorial Guinea,6
Eritrea,2
Estonia,94
Eswatini,19
Ethiopia,24
Fiji,60
Finland,100
France,90
Gabon,22
Gaza Strip,11
Georgia,61
Germany,94
Ghana,82
Greece,88
Grenada,89
Guatemala,52
Guinea,40
Guinea-Bissau,46
Guyana,74
Haiti,38
Honduras,45
Hong Kong,55
Hungary,70
Iceland,94
India,71
Indian Kashmir,28
Indonesia,61
Iran,17
Iraq,31
Ireland,97
Israel,76
Italy,89
Jamaica,78
Japan,96
Jordan,37
Kazakhstan,23
Kenya,48
Kiribati,93
Kosovo,56
Kuwait,36
Kyrgyzstan,39
Laos,14
Latvia,89
Lebanon,44
Lesotho,63
Liberia,60
Libya,9
Liechtenstein,90
Lithuania,91
Luxembourg,98
Madagascar,61
Malawi,62
Malaysia,52
Maldives,40
Mali,41
Malta,90
Marshall Islands,93
Mauritania,34
Mauritius,89
Mexico,62
Micronesia,92
Moldova,60
Monaco,83
Mongolia,84
Montenegro,62
Morocco,37
Mozambique,45
Myanmar,30
Nagorno-Karabakh,34
Namibia,77
Nauru,77
Nepal,56
Netherlands,99
New Zealand,97
Nicaragua,31
Niger,48
Nigeria,47
North Korea,3
North Macedonia,63
Northern Cyprus,81
Norway,100
Oman,23
Pakistan,38
Pakistani Kashmir,28
Palau,92
Panama,84
Papua New Guinea,62
Paraguay,65
Peru,72
Philippines,59
Poland,84
Portugal,96
Qatar,25
Romania,83
Russia,20
Rwanda,22
Samoa,81
San Marino,95
Sao Tome and Principe,84
Saudi Arabia,7
Senegal,71
Serbia,66
Seychelles,72
Sierra Leone,65
Singapore,50
Slovakia,88
Slovenia,94
Solomon Islands,79
Somalia,7
Somaliland,41
South Africa,79
South Korea,83
South Ossetia,10
South Sudan,2
Spain,92
Sri Lanka,56
St. Kitts and Nevis,89
St. Lucia,92
St. Vincent and the Grenadines,91
Sudan,12
Suriname,75
Sweden,100
Switzerland,96
Syria,0
Taiwan,93
Tajikistan,9
Tanzania,40
Thailand,32
The Gambia,46
Tibet,1
Timor-Leste,71
Togo,44
Tonga,79
Transnistria,22
Trinidad and Tobago,82
Tunisia,70
Turkey,32
Turkmenistan,2
Tuvalu,93
Uganda,34
Ukraine,62
United Arab Emirates,17
United Kingdom,94
United States,86
Uruguay,98
Uzbekistan,10
Vanuatu,82
Venezuela,16
Vietnam,20
West Bank,25
Western Sahara,4
Yemen,11
Zambia,54
Zimbabwe,29
